,comment,recommend,prediction,no preprocessing,no smoothing,no preprocessing or smoothing
0,"['تازه', 'خرید', 'یه', 'مد', 'کار', 'بکنه', 'مشخص', 'میشه', 'کیف', 'قطعات', 'ور', 'گود']",recommended,recommended,recommended,recommended,recommended
1,"['با', 'این', 'قیم', 'گزینه', '', 'بهتر', 'ه', 'میشه', 'گرف', '.', '\r', 'رو', 'مینویسه', 'ول', 'زیاد', 'مناسب', 'نیس', 'و', 'رنگ', 'پس', 'میده', 'یه', 'وقتا', 'موقع', 'نوشتن', 'زیاد', 'مناسب', 'نیس', 'رنگ', 'پس', 'میده', 'یه', 'وقتا', 'موقع', 'نوشتن']",not_recommended,recommended,recommended,recommended,recommended
2,"['خیل', 'عالیه', '،', 'فقط', 'کا', 'از', 'اون', 'سمت', 'میشد', 'به', 'پاوربانک', 'وصل', 'بشه', '،', 'من', 'خود', 'این', 'کار', 'رو', 'انجا', 'داد', '،', 'ول', 'کا', 'شرکت', 'این', 'کار', 'رو', 'انجا', 'میداد*\r', 'درکل', 'نباید', 'زیاد', 'از', 'این', 'نوع', 'پنکه', '', 'استفاده', 'کرد#کن', '،', 'چون', 'به', 'سوک', 'گوش', 'وصل', 'میشه', '،', 'با', 'لرزش', 'که', 'داره', 'باعث', 'خراب', 'زودرس', 'سوک', 'گوش', 'میشه', 'پنکه', 'گوش']",recommended,recommended,recommended,recommended,recommended
3,"['من', 'این', 'فیس', 'براس', 'چند', 'روز', 'یپ', 'به', 'دس', 'رسید', 'و', 'ال', 'بعد', 'از', 'چند', 'روز', 'استفاده', 'از', 'همه', 'سر', '', 'دار', 'نظر', 'رو', 'مینویسم\r', 'اول', 'تشکر', 'کن', 'باب', 'ارسال', 'و', 'بسته', 'بندیه', 'خوب', 'دیجیکالا', '\r', 'و', 'اینکه', 'این', 'فیس', 'برا', 'رو', 'من', 'تو', 'تخفیف', 'خرید', '.', 'اول', 'اینکه', 'دستگاه', 'به', 'شد#شو', 'ضعیفه', 'با', 'اینکه', 'من', '4تا', 'باطر', 'خوب', 'ه', 'انداخ', 'رو', 'ول', 'باز', 'خیل', 'ضعیفه', 'در', 'حد', 'که', 'زود', 'خامو', 'میشه', '!', 'رسید#رس', 'صورت', 'به', 'نظر', 'من', 'باید', 'لطیف', '', 'باشه', 'و', 'برعکس', 'رسید#رس', 'بدن', 'باید', 'یک', 'زبر', '', 'باشه', 'که', 'بتونه', 'لایه', 'بردار', 'انجا', 'داد#ده', 'ول', 'برا', 'شستشو', 'معمول', 'بدن', 'بد', 'نیس', 'ول', 'خب', 'انقد', 'ضعیفه', 'که', 'نمیشه', 'با', 'شس', '.', 'من', 'تصم', 'دار', 'باز', 'کن', 'و', 'خود', 'قو', 'تر', 'کن', 'امیدوار', 'اون', 'موقع', 'به', 'بشه', '.', 'در', 'کل', 'بنظر', 'من', 'بد', 'حد', 'یه', 'فیس', 'برا', 'دستیه', 'ول', 'آد', 'پول', 'رو', 'جمع', 'کنه', 'و', 'یه', 'بهتر', 'رو', 'بخره', 'خیل', 'بهتره', 'چون', 'این', 'حت', 'سر', '', 'گیر', 'نمیاد', 'و', 'وقت', 'سر', '', 'خراب', 'بشن', 'دیگه', 'قابل', 'استفاده', 'نیس', '.', '.', 'دستگاه', 'خیل', 'ضعیف']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
4,"['بنده', 'یه', 'هارد', 'اکسترنال', 'دار', 'که', 'کابل', 'فابریک', 'سال', 'و', 'هیچ', 'مشکل', 'نداره', '،', 'و', 'اینو', 'واسه', 'یک', 'خرید', 'که', 'از', 'نظر', 'جنس', 'و', 'کارا', 'این', 'کابل', 'از', 'فابریک', 'خیل', 'سره', '.', '\r', 'دم', 'گر', 'دیجیکالا', 'عال', 'و', 'بیس']",recommended,recommended,recommended,recommended,recommended
5,"['مدل', '46', 'MM', 'به', 'دس', 'شما', 'رسید#رس', 'و', 'به', 'جا', 'آن', 'مدل', '35', 'MM', 'برا', 'شما', 'ارسال', 'شد#شو', 'که', 'چسب', 'پهن', 'در', 'آن', 'جا', 'نمیگیرد', '.', 'جالب', 'این', 'که', 'در', 'رو', 'جعبه', 'ه', 'به', 'دروغ', 'جلو', '46', 'MM', 'تیک', 'زده', '!', 'چسب', 'پهن', '', 'موجود', 'در', 'بازار', 'عرض', '46', 'میل', 'داشت#دار', 'ول', 'پهن', '', 'چسب', 'که', 'در', 'این', 'پایه', 'جا', 'میگیرد', '35', 'میل', 'چون', 'اصلا', 'مدل', '35', 'MM', 'برا', 'شما', 'ارسال', 'شد#شو', '.', 'در', 'توضیح', 'برا', 'توجیه', 'مدل', '46', 'ادعا', 'شده_اس', 'که', 'چسب', '', 'را', 'به', 'طول', '46', 'میل', '', 'بر', 'میزند', 'در', 'حال', 'که', 'اصلا', 'مدل', '46', 'به', 'آن', 'ربط', 'داشت#دار', 'و', 'دستگاه', 'چسب', '', 'را', 'به', 'طول', '5', 'سانت', 'یعن', '50', 'میل', 'بر', 'میزند', '.', '\r', 'ول', 'نکته', 'مثب', 'آن', 'این', 'اس', 'که', 'چسب', '', 'را', 'به', 'خوب', 'و', 'خیل', 'جالب', 'در', 'اندازه', '', 'ثاب', 'و', 'خیل', 'سریع', 'تکه', 'میکند', 'و', 'به', 'کاربرد', 'آن', 'برا', 'کس', 'اس', 'که', 'زیاد', 'بسته', 'بند', 'کادو', 'انجا', 'میدهند', '.', 'خوب', 'ول', 'کارا', 'محدود']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
6,"['پایه', 'نگهدارنده', 'برا', '۲۰۶', 'داشت#دار', 'و', 'قدر', 'پاک', 'کنندگ', 'آن', 'بسیار', 'پایین', 'اس', 'بطوریکه', 'اثر', 'کثیف', 'برو', 'شیشه', 'م', 'ماند#مان', 'کیف', 'پاک', 'کنندگ', 'پایین']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
7,"['محصول', 'ب', 'کیف', '.', 'ز', 'تماس', 'که', 'اصلا', 'صدا', 'واضح', 'نداره', 'و', 'کلا', 'صدا', 'نمیره', 'ب', 'طرف', 'مقابل', '.', 'وقت', 'اولین', 'بار', 'گذا', 'تو', 'گو', 'و', 'درآوردم', 'کلا', 'جدا', 'شد#شو', 'قسم', 'پلاستیک', 'و', 'سیم', 'مشخص', 'شد#شو', '.', 'ین', 'اصلا', 'ب', 'درد', 'نمیخوره', 'اصلا', 'پیشنهاد', 'نمیکن']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
8,"['سلا', '،', 'راح', 'شد#شو', 'از', 'کابل', 'شارژ', '،', 'توصیه', 'میشود', 'به', 'شد#شو', '.', 'ارز', 'گوش', 'خود', 'را', 'به', 'شارژ', 'وایرلس', 'مجهز', 'کرد#کن', '.', 'نقد', 'پس', 'از', 'خرید']",recommended,not_recommended,not_recommended,not_recommended,not_recommended
9,"['من', 'وقت', 'میخواس', 'خرید', 'کن', 'نظر', 'رو', 'خوند', 'ول', 'به', 'نظر', 'من', '', 'ر', 'ترا', 'سطح', 'پایین', 'اس', 'که', 'خیل', 'گاز', 'میگیره', '!!', 'ر', 'ترا', 'نامناسب']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
